reaction_id,nutrient,step_ub,mu,normalized_mu,status
NH4t,Ammonium,0.0,0.07142857142857077,0.9999999999999691,optimal
NH4t,Ammonium,0.03448275862068962,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.06896551724137924,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.10344827586206884,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.13793103448275848,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.1724137931034481,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.20689655172413768,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.24137931034482732,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.27586206896551696,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.3103448275862065,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.3448275862068962,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.3793103448275858,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.41379310344827536,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.448275862068965,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.48275862068965464,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.5172413793103443,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.5517241379310339,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.5862068965517235,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.620689655172413,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.6551724137931028,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.6896551724137924,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.7241379310344819,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.7586206896551716,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.7931034482758612,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.8275862068965507,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.8620689655172404,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.89655172413793,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.9310344827586197,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.9655172413793093,0.07142857142856958,0.9999999999999524,optimal
NH4t,Ammonium,0.9999999999999989,0.07142857142856958,0.9999999999999524,optimal
