reaction_id,nutrient,step_ub,mu,normalized_mu,status
O2t,Oxygen,0.0,-4.4799300942918255e-31,-6.271902132008419e-30,optimal
O2t,Oxygen,0.3448275862068967,0.034482758620689696,0.48275862068964526,optimal
O2t,Oxygen,0.6896551724137934,0.06896551724137927,0.9655172413792887,optimal
O2t,Oxygen,1.03448275862069,0.07142857142857201,0.9999999999999865,optimal
O2t,Oxygen,1.3793103448275867,0.07142857142857124,0.9999999999999757,optimal
O2t,Oxygen,1.7241379310344833,0.07142857142857163,0.9999999999999811,optimal
O2t,Oxygen,2.06896551724138,0.07142857142857151,0.9999999999999795,optimal
O2t,Oxygen,2.4137931034482767,0.0714285714285709,0.9999999999999709,optimal
O2t,Oxygen,2.7586206896551735,0.07142857142857183,0.9999999999999839,optimal
O2t,Oxygen,3.10344827586207,0.07142857142857172,0.9999999999999823,optimal
O2t,Oxygen,3.4482758620689666,0.07142857142857156,0.9999999999999802,optimal
O2t,Oxygen,3.7931034482758634,0.071428571428572,0.9999999999999862,optimal
O2t,Oxygen,4.13793103448276,0.07142857142857185,0.9999999999999842,optimal
O2t,Oxygen,4.4827586206896575,0.07142857142857174,0.9999999999999827,optimal
O2t,Oxygen,4.827586206896553,0.07142857142857109,0.9999999999999736,optimal
O2t,Oxygen,5.17241379310345,0.07142857142857097,0.9999999999999718,optimal
O2t,Oxygen,5.517241379310347,0.07142857142857144,0.9999999999999785,optimal
O2t,Oxygen,5.862068965517244,0.07142857142857237,0.9999999999999915,optimal
O2t,Oxygen,6.20689655172414,0.07142857142857308,1.0000000000000013,optimal
O2t,Oxygen,6.5517241379310365,0.07142857142857004,0.9999999999999588,optimal
O2t,Oxygen,6.896551724137933,0.07142857142857126,0.9999999999999759,optimal
O2t,Oxygen,7.241379310344831,0.07142857142857287,0.9999999999999984,optimal
O2t,Oxygen,7.586206896551727,0.07142857142857215,0.9999999999999883,optimal
O2t,Oxygen,7.931034482758624,0.07142857142857077,0.9999999999999691,optimal
O2t,Oxygen,8.27586206896552,0.07142857142857065,0.9999999999999674,optimal
O2t,Oxygen,8.620689655172416,0.07142857142857133,0.9999999999999769,optimal
O2t,Oxygen,8.965517241379315,0.07142857142857091,0.999999999999971,optimal
O2t,Oxygen,9.31034482758621,0.07142857142857142,0.9999999999999782,optimal
O2t,Oxygen,9.655172413793107,0.07142857142857124,0.9999999999999757,optimal
O2t,Oxygen,10.000000000000004,0.07142857142857108,0.9999999999999734,optimal
