reaction_id,nutrient,step_ub,mu,normalized_mu,status
FE2GTPabc,Iron(II),0.0,0.07142857142857313,1.0000000000000022,optimal
FE2GTPabc,Iron(II),0.34482758620689546,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),0.6896551724137909,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),1.0344827586206864,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),1.3793103448275819,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),1.7241379310344773,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),2.068965517241373,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),2.413793103448268,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),2.7586206896551637,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),3.103448275862059,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),3.4482758620689546,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),3.7931034482758497,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),4.137931034482746,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),4.482758620689641,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),4.827586206896536,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),5.1724137931034315,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),5.517241379310327,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),5.8620689655172225,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),6.206896551724118,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),6.551724137931014,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),6.896551724137909,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),7.241379310344804,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),7.586206896551699,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),7.931034482758595,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),8.275862068965491,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),8.620689655172386,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),8.965517241379281,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),9.310344827586178,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),9.655172413793071,0.07142857142857084,0.9999999999999701,optimal
FE2GTPabc,Iron(II),9.999999999999968,0.07142857142857084,0.9999999999999701,optimal
