reaction_id,nutrient,step_ub,mu,normalized_mu,status
PIt,Phosphate,0.0,1.3935452961772189e-15,2.7085611868397963e-14,optimal
PIt,Phosphate,0.0015480069811119985,0.002714330798073306,0.05275702962848142,optimal
PIt,Phosphate,0.003096013962223997,0.005428661595622605,0.10551405924677798,optimal
PIt,Phosphate,0.004644020943335995,0.0081429923934438,0.15827108887035926,optimal
PIt,Phosphate,0.006192027924447994,0.010857323191265564,0.2110281184939516,optimal
PIt,Phosphate,0.007740034905559992,0.013571653989087024,0.263785148117538,optimal
PIt,Phosphate,0.00928804188667199,0.016285984786887947,0.31654217774072524,optimal
PIt,Phosphate,0.010836048867783988,0.019000315584707054,0.36929920736426597,optimal
PIt,Phosphate,0.012384055848895988,0.021697678096357743,0.4217264332745793,optimal
PIt,Phosphate,0.013932062830007986,0.024409887859406502,0.4744422374534168,optimal
PIt,Phosphate,0.015480069811119984,0.02712209762144729,0.5271580416126628,optimal
PIt,Phosphate,0.01702807679223198,0.029834307383482167,0.5798738457717939,optimal
PIt,Phosphate,0.01857608377334398,0.032546517143217116,0.6325896498862226,optimal
PIt,Phosphate,0.02012409075445598,0.03525872690527621,0.6853054540458244,optimal
PIt,Phosphate,0.021672097735567976,0.03797093666734791,0.7380212582056713,optimal
PIt,Phosphate,0.023220104716679974,0.040683146429418726,0.790737062365501,optimal
PIt,Phosphate,0.024768111697791976,0.043395356191488973,0.8434528665253196,optimal
PIt,Phosphate,0.026316118678903974,0.04610756595355005,0.8961686706849599,optimal
PIt,Phosphate,0.027864125660015972,0.04881977571562029,0.9488844748447784,optimal
PIt,Phosphate,0.029412132641127967,0.05144955784045957,0.999998176083801,optimal
PIt,Phosphate,0.03096013962223997,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.03250814660335197,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.03405615358446396,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.035604160565575964,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.03715216754668796,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.03870017452779996,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.04024818150891196,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.04179618849002396,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.04334419547113595,0.05144955784053962,0.9999981760853569,optimal
PIt,Phosphate,0.044892202452247953,0.05144955784053962,0.9999981760853569,optimal
