reaction_id,nutrient,step_ub,mu,normalized_mu,status
CO2t,CO2,0.0,4.797402475326905e-17,9.324460552495129e-16,optimal
CO2t,CO2,0.06896551724137871,0.0017945371257938854,0.034879480563724946,optimal
CO2t,CO2,0.13793103448275743,0.003589074251586218,0.06975896112741971,optimal
CO2t,CO2,0.20689655172413615,0.0053836113773792745,0.10463844169112854,optimal
CO2t,CO2,0.27586206896551485,0.007178148503172523,0.1395179222548411,optimal
CO2t,CO2,0.3448275862068936,0.008971540340182339,0.17437514243882266,optimal
CO2t,CO2,0.4137931034482723,0.010765848408214868,0.20925017092651063,optimal
CO2t,CO2,0.48275862068965103,0.012560156476249404,0.24412519941423763,optimal
CO2t,CO2,0.5517241379310297,0.01435446454428559,0.2790002279019967,optimal
CO2t,CO2,0.6206896551724084,0.016148772612319846,0.31387525638971825,optimal
CO2t,CO2,0.6896551724137872,0.017943080680355945,0.3487502848774756,optimal
CO2t,CO2,0.7586206896551658,0.019737388748392072,0.3836253133652335,optimal
CO2t,CO2,0.8275862068965446,0.02153169681642841,0.4185003418529955,optimal
CO2t,CO2,0.8965517241379233,0.023326004884464062,0.45337537034074415,optimal
CO2t,CO2,0.9655172413793021,0.025120312952500175,0.4882503988285018,optimal
CO2t,CO2,1.0344827586206806,0.026914621020536513,0.5231254273162639,optimal
CO2t,CO2,1.1034482758620594,0.02870892908857216,0.5580004558040125,optimal
CO2t,CO2,1.1724137931034382,0.0304850222012951,0.5925214497216945,optimal
CO2t,CO2,1.2413793103448167,0.03223206683790017,0.6264778435853595,optimal
CO2t,CO2,1.3103448275861955,0.033979111474504296,0.6604342374490061,optimal
CO2t,CO2,1.3793103448275743,0.03572615611110704,0.6943906313126259,optimal
CO2t,CO2,1.448275862068953,0.037473200747710184,0.7283470251762534,optimal
CO2t,CO2,1.5172413793103317,0.03922024538431385,0.7623034190398912,optimal
CO2t,CO2,1.5862068965517104,0.040967290020916786,0.7962598129035146,optimal
CO2t,CO2,1.6551724137930892,0.0427143346575214,0.8302162067671707,optimal
CO2t,CO2,1.7241379310344678,0.044461379294123395,0.8641726006307758,optimal
CO2t,CO2,1.7931034482758466,0.04620842393072751,0.8981289944944222,optimal
CO2t,CO2,1.8620689655172251,0.047955468567331856,0.9320853883580732,optimal
CO2t,CO2,1.9310344827586041,0.04970251320394285,0.9660417822218533,optimal
CO2t,CO2,1.9999999999999827,0.05144955784054622,0.9999981760854852,optimal
